x1,x2,label
-0.30,0.10,0
0.20,-0.20,0
0.10,0.30,0
-0.20,-0.25,0
0.25,0.15,0
-0.15,0.25,0
0.30,0.05,0
-0.25,-0.10,0
0.05,-0.35,0
-0.10,-0.30,0
0.35,0.10,0
-0.05,0.20,0
0.15,-0.15,0
-0.30,-0.05,0
0.00,0.35,0
0.22,0.22,0
-0.22,0.22,0
0.22,-0.22,0
-0.22,-0.22,0
-0.35,0.15,0
0.70,0.50,1
-0.80,0.40,1
0.60,-0.70,1
-0.50,-0.80,1
0.90,0.10,1
-0.90,-0.20,1
0.30,0.80,1
-0.40,0.90,1
0.80,-0.50,1
-0.70,-0.60,1
0.55,0.55,1
-0.55,0.55,1
0.55,-0.55,1
-0.55,-0.55,1
1.00,0.00,1
-1.00,0.00,1
0.00,1.00,1
0.00,-1.00,1
0.45,0.20,1
-0.45,-0.20,1
0.50,0.00,1
-0.50,0.00,1
0.00,0.50,1
0.00,-0.50,1
0.65,-0.30,1
-0.60,0.35,1
0.40,-0.85,1
-0.85,-0.40,1
0.75,0.65,1
