x1,x2,label
0.00,0.00,0
0.20,0.00,0
0.40,0.00,0
0.50,0.00,0
0.60,0.00,0
-0.20,0.00,0
-0.40,0.00,0
-0.50,0.00,0
-0.60,0.00,0
0.00,0.20,0
0.00,0.30,0
0.00,-0.20,0
0.00,-0.30,0
0.30,0.20,0
0.40,0.20,0
0.30,-0.20,0
0.40,-0.20,0
-0.30,0.20,0
-0.40,0.20,0
-0.30,-0.20,0
0.80,0.00,1
0.90,0.00,1
1.00,0.00,1
-0.80,0.00,1
-0.90,0.00,1
-1.00,0.00,1
0.00,0.50,1
0.00,0.60,1
0.00,-0.50,1
0.00,-0.60,1
0.50,0.40,1
0.40,0.40,1
0.30,0.45,1
-0.50,0.40,1
-0.40,0.40,1
-0.30,0.45,1
0.50,-0.40,1
0.40,-0.40,1
0.30,-0.45,1
-0.50,-0.40,1
-0.40,-0.40,1
-0.30,-0.45,1
0.60,0.30,1
0.60,-0.30,1
-0.60,0.30,1
-0.60,-0.30,1
0.70,0.20,1
0.70,-0.20,1
-0.70,0.20,1
