x1,x2,label
0.00,0.00,0
0.20,0.00,0
0.30,0.00,0
0.40,0.00,0
-0.20,0.00,0
-0.30,0.00,0
-0.40,0.00,0
0.00,0.30,0
0.00,-0.30,0
0.00,0.50,0
0.00,-0.50,0
0.60,0.40,0
0.60,-0.40,0
-0.60,0.40,0
-0.60,-0.40,0
0.70,0.50,0
0.70,-0.50,0
-0.70,0.50,0
-0.70,-0.50,0
0.30,0.30,0
0.60,0.00,1
0.70,0.00,1
0.80,0.00,1
0.90,0.00,1
1.00,0.00,1
-0.60,0.00,1
-0.70,0.00,1
-0.80,0.00,1
-0.90,0.00,1
-1.00,0.00,1
0.60,0.10,1
0.60,-0.10,1
-0.60,0.10,1
-0.60,-0.10,1
0.70,0.15,1
0.70,-0.15,1
-0.70,0.15,1
-0.70,-0.15,1
0.80,0.20,1
0.80,-0.20,1
-0.80,0.20,1
-0.80,-0.20,1
0.90,0.25,1
0.90,-0.25,1
-0.90,0.25,1
-0.90,-0.25,1
1.00,0.30,1
-1.00,0.30,1
1.00,-0.30,1
